region,group,question,response,response_clean,topic
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria (segun mi experiencia),no hay participacion comunitaria,1
Amazonas,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,No hay empleo local,no hay empleo local,12
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales,faltan medicamentos esenciales,2
Andina,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades en mi comunidad,los jovenes migran por falta de oportunidades,6
Amazonas,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Falta de acceso al agua potable (segun mi experiencia),falta de acceso al agua potable,3
Pacifico,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales en mi comunidad,faltan medicamentos esenciales,2
Andina,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia),los jovenes migran por falta de oportunidades,6
Andina,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria,no hay participacion comunitaria,1
Andina,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades,los jovenes migran por falta de oportunidades,6
Caribe,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay atencion medica cerca,no hay atencion medica cerca,14
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria,no hay participacion comunitaria,1
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras,no hay recoleccion de basuras,11
Orinoquia,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones,falta de confianza en las instituciones,9
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados en mi comunidad,nos sentimos abandonados,5
Amazonas,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes personalmente hablando,cortes de luz frecuentes,10
Andina,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones (segun mi experiencia),falta de confianza en las instituciones,9
Amazonas,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes,cortes de luz frecuentes,10
Andina,Mujeres,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas,hay demoras en las citas,4
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales,faltan medicamentos esenciales,2
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales,faltan medicamentos esenciales,2
Pacifico,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas en mi comunidad,hay demoras en las citas,4
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas personalmente hablando,hay demoras en las citas,4
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable,falta de acceso al agua potable,3
Orinoquia,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay empleo local personalmente hablando,no hay empleo local,12
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales,faltan medicamentos esenciales,2
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,No hay apoyo a emprendimientos,no hay apoyo a emprendimientos,13
Andina,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria,no hay participacion comunitaria,1
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad,no hay recoleccion de basuras,11
Orinoquia,Jovenes,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones,falta de confianza en las instituciones,9
Pacifico,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados,nos sentimos abandonados,5
Caribe,Mujeres,Como evalua la atencion en salud mental en su zona?,Viviendas en mal estado,viviendas en mal estado,7
Caribe,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados (segun mi experiencia),nos sentimos abandonados,5
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,Nos sentimos abandonados personalmente hablando,nos sentimos abandonados,5
Andina,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados (segun mi experiencia),nos sentimos abandonados,5
Andina,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay apoyo a emprendimientos personalmente hablando,no hay apoyo a emprendimientos,13
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada (segun mi experiencia),la salud mental es ignorada,0
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad,no hay recoleccion de basuras,11
Caribe,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos en mi comunidad,no hay apoyo a emprendimientos,13
Andina,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras personalmente hablando,no hay recoleccion de basuras,11
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes (segun mi experiencia),nadie responde a nuestras solicitudes,0
Amazonas,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,No hay participacion comunitaria,no hay participacion comunitaria,1
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado,viviendas en mal estado,7
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones,falta de confianza en las instituciones,9
Amazonas,Jovenes,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable,falta de acceso al agua potable,3
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Viviendas en mal estado,viviendas en mal estado,7
Andina,Mujeres,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas en mi comunidad,hay demoras en las citas,4
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado,viviendas en mal estado,7
Orinoquia,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable,falta de acceso al agua potable,3
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,Nadie responde a nuestras solicitudes,nadie responde a nuestras solicitudes,0
Caribe,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades en mi comunidad,los jovenes migran por falta de oportunidades,6
Pacifico,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria en mi comunidad,no hay participacion comunitaria,1
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay empleo local,no hay empleo local,12
Orinoquia,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable personalmente hablando,falta de acceso al agua potable,3
Pacifico,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,No hay apoyo a emprendimientos,no hay apoyo a emprendimientos,13
Caribe,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas (segun mi experiencia),hay demoras en las citas,4
Caribe,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes personalmente hablando,nadie responde a nuestras solicitudes,0
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados,nos sentimos abandonados,5
Andina,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos personalmente hablando,no hay apoyo a emprendimientos,13
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes en mi comunidad,cortes de luz frecuentes,10
Caribe,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,La salud mental es ignorada,la salud mental es ignorada,0
Andina,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas,hay demoras en las citas,4
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia),los jovenes migran por falta de oportunidades,6
Pacifico,Personas Mayores,Como evalua la atencion en salud mental en su zona?,No hay recoleccion de basuras,no hay recoleccion de basuras,11
Orinoquia,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad,no hay recoleccion de basuras,11
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable personalmente hablando,falta de acceso al agua potable,3
Amazonas,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados,nos sentimos abandonados,5
Pacifico,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Falta de confianza en las instituciones,falta de confianza en las instituciones,9
Pacifico,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay atencion medica cerca,no hay atencion medica cerca,14
Pacifico,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay atencion medica cerca en mi comunidad,no hay atencion medica cerca,12
Pacifico,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales,faltan medicamentos esenciales,2
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Falta de acceso al agua potable personalmente hablando,falta de acceso al agua potable,3
Orinoquia,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia),los jovenes migran por falta de oportunidades,6
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos en mi comunidad,no hay apoyo a emprendimientos,13
Amazonas,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria,no hay participacion comunitaria,1
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,La economia informal domina,la economia informal domina,8
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados,nos sentimos abandonados,5
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Nadie responde a nuestras solicitudes en mi comunidad,nadie responde a nuestras solicitudes,0
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay apoyo a emprendimientos,no hay apoyo a emprendimientos,13
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay recoleccion de basuras personalmente hablando,no hay recoleccion de basuras,11
Amazonas,Jovenes,Que necesidades prioritarias existen en su comunidad?,La salud mental es ignorada personalmente hablando,la salud mental es ignorada,0
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay atencion medica cerca,no hay atencion medica cerca,14
Orinoquia,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable (segun mi experiencia),falta de acceso al agua potable,3
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria,no hay participacion comunitaria,1
Andina,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes personalmente hablando,cortes de luz frecuentes,10
Andina,Jovenes,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas,hay demoras en las citas,4
Andina,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Los jovenes migran por falta de oportunidades (segun mi experiencia),los jovenes migran por falta de oportunidades,6
Andina,Mujeres,Como evalua la atencion en salud mental en su zona?,Faltan medicamentos esenciales en mi comunidad,faltan medicamentos esenciales,2
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,La economia informal domina personalmente hablando,la economia informal domina,8
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria,no hay participacion comunitaria,1
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay atencion medica cerca,no hay atencion medica cerca,14
Orinoquia,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,La salud mental es ignorada,la salud mental es ignorada,0
Amazonas,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras (segun mi experiencia),no hay recoleccion de basuras,11
Orinoquia,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay atencion medica cerca,no hay atencion medica cerca,14
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada en mi comunidad,la salud mental es ignorada,0
Orinoquia,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones,falta de confianza en las instituciones,9
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria,no hay participacion comunitaria,1
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Viviendas en mal estado,viviendas en mal estado,7
Pacifico,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,No hay apoyo a emprendimientos,no hay apoyo a emprendimientos,13
Amazonas,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes (segun mi experiencia),cortes de luz frecuentes,10
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay empleo local personalmente hablando,no hay empleo local,12
Caribe,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,La economia informal domina,la economia informal domina,8
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,La economia informal domina,la economia informal domina,8
Amazonas,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado (segun mi experiencia),viviendas en mal estado,7
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable personalmente hablando,falta de acceso al agua potable,3
Caribe,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales,faltan medicamentos esenciales,2
Amazonas,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas (segun mi experiencia),hay demoras en las citas,4
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable,falta de acceso al agua potable,3
Amazonas,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos en mi comunidad,no hay apoyo a emprendimientos,13
Orinoquia,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,La salud mental es ignorada personalmente hablando,la salud mental es ignorada,0
Amazonas,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable,falta de acceso al agua potable,3
Andina,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,La economia informal domina personalmente hablando,la economia informal domina,8
Orinoquia,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes en mi comunidad,nadie responde a nuestras solicitudes,0
Pacifico,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones,falta de confianza en las instituciones,9
Orinoquia,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria personalmente hablando,no hay participacion comunitaria,1
Orinoquia,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,No hay empleo local (segun mi experiencia),no hay empleo local,12
Caribe,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados (segun mi experiencia),nos sentimos abandonados,5
Caribe,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay apoyo a emprendimientos en mi comunidad,no hay apoyo a emprendimientos,13
Caribe,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras personalmente hablando,no hay recoleccion de basuras,11
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,No hay participacion comunitaria personalmente hablando,no hay participacion comunitaria,1
Orinoquia,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas,hay demoras en las citas,4
Pacifico,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay empleo local (segun mi experiencia),no hay empleo local,12
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay empleo local en mi comunidad,no hay empleo local,12
Orinoquia,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado,viviendas en mal estado,7
Caribe,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas (segun mi experiencia),hay demoras en las citas,4
Caribe,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable personalmente hablando,falta de acceso al agua potable,3
Orinoquia,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado personalmente hablando,viviendas en mal estado,7
Pacifico,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria,no hay participacion comunitaria,1
Orinoquia,Mujeres,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados en mi comunidad,nos sentimos abandonados,5
Andina,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales en mi comunidad,faltan medicamentos esenciales,2
Pacifico,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Falta de confianza en las instituciones,falta de confianza en las instituciones,9
Orinoquia,Jovenes,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados,nos sentimos abandonados,5
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades,los jovenes migran por falta de oportunidades,6
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado en mi comunidad,viviendas en mal estado,7
Caribe,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,La salud mental es ignorada,la salud mental es ignorada,0
Andina,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay empleo local (segun mi experiencia),no hay empleo local,12
Caribe,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,No hay atencion medica cerca en mi comunidad,no hay atencion medica cerca,14
Andina,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable en mi comunidad,falta de acceso al agua potable,3
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria,no hay participacion comunitaria,1
Andina,Personas Mayores,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada (segun mi experiencia),la salud mental es ignorada,0
Caribe,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes,cortes de luz frecuentes,10
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,No hay atencion medica cerca personalmente hablando,no hay atencion medica cerca,14
Andina,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas personalmente hablando,hay demoras en las citas,4
Andina,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,No hay apoyo a emprendimientos (segun mi experiencia),no hay apoyo a emprendimientos,13
Orinoquia,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas (segun mi experiencia),hay demoras en las citas,4
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes,cortes de luz frecuentes,10
Pacifico,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Los jovenes migran por falta de oportunidades,los jovenes migran por falta de oportunidades,6
Orinoquia,Jovenes,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada,la salud mental es ignorada,0
Amazonas,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes,cortes de luz frecuentes,10
Andina,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Hay demoras en las citas (segun mi experiencia),hay demoras en las citas,4
Caribe,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados (segun mi experiencia),nos sentimos abandonados,5
Andina,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria (segun mi experiencia),no hay participacion comunitaria,1
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales,faltan medicamentos esenciales,2
